,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
mitigating_rusproblemer,1,mitigating_rusproblemer,mitigating,rusproblemer,substance abuse problems,mental,substance_abuse
mitigating_bidrag til sakens oppklaring,1,mitigating_bidrag til sakens oppklaring,mitigating,bidrag til sakens oppklaring,contribution to the clarification of the case,confession,aided_law_enforcement
mitigating_ingen farlige situasjoner,1,mitigating_ingen farlige situasjoner,mitigating,ingen farlige situasjoner,no dangerous situations,DELETE,
mitigating_alene i bilen,1,mitigating_alene i bilen,mitigating,alene i bilen,alone in the car,minor,driving
mitigating_kort strekning,1,mitigating_kort strekning,mitigating,kort strekning,short stretch,minor,short_distance
mitigating_deler av beløpene er tilbakebetalt,1,mitigating_deler av beløpene er tilbakebetalt,mitigating,deler av beløpene er tilbakebetalt,parts of the amounts have been repaid,amends,
mitigating_overhengende fare,1,mitigating_overhengende fare,mitigating,overhengende fare,imminent danger,DELETE,
mitigating_ingen spredningsfare,1,mitigating_ingen spredningsfare,mitigating,ingen spredningsfare,no risk of spreading,DELETE,
mitigating_lav styrkegrad på stoffet,1,mitigating_lav styrkegrad på stoffet,mitigating,lav styrkegrad på stoffet,low degree of strength on the fabric,DELETE,
mitigating_forvirringstilstand etter mulig epileptisk anfall,1,mitigating_forvirringstilstand etter mulig epileptisk anfall,mitigating,forvirringstilstand etter mulig epileptisk anfall,confusional state after possible epileptic seizure,mental,
mitigating_spesielle omstendigheter,1,mitigating_spesielle omstendigheter,mitigating,spesielle omstendigheter,special circumstances,DELETE,
mitigating_erkjennelse av kjøring,1,mitigating_erkjennelse av kjøring,mitigating,erkjennelse av kjøring,recognition of driving,confession,
mitigating_gjør opp for seg,1,mitigating_gjør opp for seg,mitigating,gjør opp for seg,make up for themselves,DELETE,
mitigating_første gangs overtredelse,1,mitigating_første gangs overtredelse,mitigating,første gangs overtredelse,first time violation,no_previous_conviction,
mitigating_samarbeidsvilje,1,mitigating_samarbeidsvilje,mitigating,samarbeidsvilje,willingness to cooperate,confession,aided_law_enforcement
mitigating_rusproblem,1,mitigating_rusproblem,mitigating,rusproblem,substance abuse problem,mental,substance_abuse
mitigating_ingen reell spredningsfare,1,mitigating_ingen reell spredningsfare,mitigating,ingen reell spredningsfare,no real risk of spread,DELETE,
mitigating_uprofesjonelt preg,1,mitigating_uprofesjonelt preg,mitigating,uprofesjonelt preg,unprofessional touch,minor,unprofessional
mitigating_lite beløp,1,mitigating_lite beløp,mitigating,lite beløp,small amount,DELETE,
mitigating_rusavhengighet,1,mitigating_rusavhengighet,mitigating,rusavhengighet,drug addiction,mental,substance_abuse
mitigating_ingen påfallende kjøreadferd eller farlige situasjoner,1,mitigating_ingen påfallende kjøreadferd eller farlige situasjoner,mitigating,ingen påfallende kjøreadferd eller farlige situasjoner,no conspicuous driving behavior or dangerous situations,minor,driving
mitigating_lang varetektstid,1,mitigating_lang varetektstid,mitigating,lang varetektstid,long detention period,processing_time,
mitigating_ingen intensjon om å skade,1,mitigating_ingen intensjon om å skade,mitigating,ingen intensjon om å skade,no intent to harm,minor,no_intent
mitigating_medvirket til at maleri kom til rette,1,mitigating_medvirket til at maleri kom til rette,mitigating,medvirket til at maleri kom til rette,contributed to painting coming to fruition,DELETE,
mitigating_helt spesielle grunner,1,mitigating_helt spesielle grunner,mitigating,helt spesielle grunner,very special reasons,DELETE,
mitigating_spontan handling,1,mitigating_spontan handling,mitigating,spontan handling,spontaneous action,minor,impulsive
mitigating_ikke bestridt politiets fremstilling,1,mitigating_ikke bestridt politiets fremstilling,mitigating,ikke bestridt politiets fremstilling,did not dispute the police's representation,confession,
mitigating_samarbeid,1,mitigating_samarbeid,mitigating,samarbeid,cooperation,confession,aided_law_enforcement
mitigating_beklaget oppførselen,1,mitigating_beklaget oppførselen,mitigating,beklaget oppførselen,apologized for the behavior,confession,apology
mitigating_impulshandling,1,mitigating_impulshandling,mitigating,impulshandling,impulse action,minor,impulsive
mitigating_mindre alvorlig,1,mitigating_mindre alvorlig,mitigating,mindre alvorlig,less serious,DELETE,
mitigating_følte seg presset til å kjøre bilen,1,mitigating_følte seg presset til å kjøre bilen,mitigating,følte seg presset til å kjøre bilen,felt pressured to drive the car,cause,pressure
mitigating_ingen trusler,1,mitigating_ingen trusler,mitigating,ingen trusler,no threats,minor,no_threats
mitigating_bidratt til oppklaring,1,mitigating_bidratt til oppklaring,mitigating,bidratt til oppklaring,contributed to clarification,confession,aided_law_enforcement
mitigating_ingen konkret spredningsrisiko,1,mitigating_ingen konkret spredningsrisiko,mitigating,ingen konkret spredningsrisiko,no concrete spread risk,minor,spread
mitigating_engangsforeteelse,1,mitigating_engangsforeteelse,mitigating,engangsforeteelse,one-off event,minor,single_event
mitigating_frivillig betalt oppreisningserstatning,1,mitigating_frivillig betalt oppreisningserstatning,mitigating,frivillig betalt oppreisningserstatning,voluntarily paid restitution compensation,amends,
mitigating_overskridelse av nødrett,1,mitigating_overskridelse av nødrett,mitigating,overskridelse av nødrett,exceeding emergency law,DELETE,
mitigating_ønske om å gjøre opp for seg,1,mitigating_ønske om å gjøre opp for seg,mitigating,ønske om å gjøre opp for seg,desire to make amends,amends,
mitigating_økonomiske forhold,1,mitigating_økonomiske forhold,mitigating,økonomiske forhold,economic circumstances,burden,financial
mitigating_erkjent å ha slått kontrolløren,1,mitigating_erkjent å ha slått kontrolløren,mitigating,erkjent å ha slått kontrolløren,admitted to hitting the controller,confession,
mitigating_gjennomført program mot ruspåvirket kjøring,1,mitigating_gjennomført program mot ruspåvirket kjøring,mitigating,gjennomført program mot ruspåvirket kjøring,implemented program against drug-impaired driving,amends,
mitigating_tiltalte tok umiddelbar ansvar,1,mitigating_tiltalte tok umiddelbar ansvar,mitigating,tiltalte tok umiddelbar ansvar,the accused took immediate responsibility,confession,
aggravating_grov økonomisk utruskap,0,aggravating_grov økonomisk utruskap,aggravating,grov økonomisk utruskap,gross financial fraud,,
aggravating_brot på bokføringslova,0,aggravating_brot på bokføringslova,aggravating,brot på bokføringslova,breached the Bookkeeping Act,,
aggravating_krenkande åtferd,0,aggravating_krenkande åtferd,aggravating,krenkande åtferd,abusive behaviour,,
aggravating_brudd på besøksforbod,0,aggravating_brudd på besøksforbod,aggravating,brudd på besøksforbod,violation of visiting ban,,
aggravating_grov kroppskrenking,0,aggravating_grov kroppskrenking,aggravating,grov kroppskrenking,grievous bodily harm,,
aggravating_mishandling i nære relasjonar,0,aggravating_mishandling i nære relasjonar,aggravating,mishandling i nære relasjonar,abuse in close relationships,,
aggravating_trugsmål,0,aggravating_trugsmål,aggravating,trugsmål,intimidation,,
aggravating_sjalusi,0,aggravating_sjalusi,aggravating,sjalusi,jealousy,,
aggravating_angrep i eget hjem,0,aggravating_angrep i eget hjem,aggravating,angrep i eget hjem,attack in own home,,
aggravating_seksuelt press,0,aggravating_seksuelt press,aggravating,seksuelt press,sexual pressure,,
aggravating_fortsatte kvelningshandlingene,0,aggravating_fortsatte kvelningshandlingene,aggravating,fortsatte kvelningshandlingene,continued the strangulation actions,,
aggravating_hovedrolle i ranet,0,aggravating_hovedrolle i ranet,aggravating,hovedrolle i ranet,main role in the robbery,,
aggravating_trusler mot familie,0,aggravating_trusler mot familie,aggravating,trusler mot familie,threats to family,,
aggravating_alvorlig trusler,0,aggravating_alvorlig trusler,aggravating,alvorlig trusler,serious threats,,
aggravating_forsøk på innbrudd,0,aggravating_forsøk på innbrudd,aggravating,forsøk på innbrudd,attempted burglary,,
aggravating_privat rettshåndhevelse,0,aggravating_privat rettshåndhevelse,aggravating,privat rettshåndhevelse,private law enforcement,,
aggravating_kjøring i et sentrumsområde,0,aggravating_kjøring i et sentrumsområde,aggravating,kjøring i et sentrumsområde,driving in a downtown area,,
aggravating_blandet medisinbruk med illegale stoffer,0,aggravating_blandet medisinbruk med illegale stoffer,aggravating,blandet medisinbruk med illegale stoffer,mixed medicinal use with illegal substances,,
aggravating_fornærmede besvimte og falt ned på asfalten,0,aggravating_fornærmede besvimte og falt ned på asfalten,aggravating,fornærmede besvimte og falt ned på asfalten,the victim fainted and fell to the pavement,,
aggravating_varig arr i ansiktet,0,aggravating_varig arr i ansiktet,aggravating,varig arr i ansiktet,permanent scar on the face,,
aggravating_alkoholrelatert vold,0,aggravating_alkoholrelatert vold,aggravating,alkoholrelatert vold,alcohol-related violence,,
aggravating_uforsvarlig oppbevaring av ammunisjon,0,aggravating_uforsvarlig oppbevaring av ammunisjon,aggravating,uforsvarlig oppbevaring av ammunisjon,improper storage of ammunition,,
aggravating_hurtig kjøring,0,aggravating_hurtig kjøring,aggravating,hurtig kjøring,fast driving,,
aggravating_passasjer ved alle tilfellene,0,aggravating_passasjer ved alle tilfellene,aggravating,passasjer ved alle tilfellene,passengers in all cases,,
aggravating_sentral rolle i hendelsesforløpet,0,aggravating_sentral rolle i hendelsesforløpet,aggravating,sentral rolle i hendelsesforløpet,central role in the course of events,,
aggravating_fornærmedes alder,0,aggravating_fornærmedes alder,aggravating,fornærmedes alder,the victim's age,,
aggravating_maktbruk og tvang,0,aggravating_maktbruk og tvang,aggravating,maktbruk og tvang,use of force and coercion,,
aggravating_grov legemsbeskadigelse under skjerpende omstendigheter,0,aggravating_grov legemsbeskadigelse under skjerpende omstendigheter,aggravating,grov legemsbeskadigelse under skjerpende omstendigheter,grievous bodily harm under aggravating circumstances,,
aggravating_påvirket av rusmidler,0,aggravating_påvirket av rusmidler,aggravating,påvirket av rusmidler,under the influence of drugs,,
aggravating_voldsutøvelse på et utested,0,aggravating_voldsutøvelse på et utested,aggravating,voldsutøvelse på et utested,violence in a night club,,
aggravating_konkret spredningsfare,0,aggravating_konkret spredningsfare,aggravating,konkret spredningsfare,specific risk of spread,,
aggravating_kjøring i sentralt og tettbebygd strøk,0,aggravating_kjøring i sentralt og tettbebygd strøk,aggravating,kjøring i sentralt og tettbebygd strøk,driving in central and densely built-up areas,,
aggravating_vinglete kjøring,0,aggravating_vinglete kjøring,aggravating,vinglete kjøring,wobbly driving,,
aggravating_livsvarig krenkelse,0,aggravating_livsvarig krenkelse,aggravating,livsvarig krenkelse,lifetime offense,,
aggravating_betydelig spredning,0,aggravating_betydelig spredning,aggravating,betydelig spredning,significant spread,,
aggravating_identifiserbar fornærmet,0,aggravating_identifiserbar fornærmet,aggravating,identifiserbar fornærmet,identifiably offended,,
aggravating_alvorlig overgrep,0,aggravating_alvorlig overgrep,aggravating,alvorlig overgrep,serious abuse,,
aggravating_brannstiftelse,0,aggravating_brannstiftelse,aggravating,brannstiftelse,arson,,
aggravating_maskerte,0,aggravating_maskerte,aggravating,maskerte,masked,,
aggravating_andre til stede,0,aggravating_andre til stede,aggravating,andre til stede,others present,,
aggravating_arbeidet ulovlig,0,aggravating_arbeidet ulovlig,aggravating,arbeidet ulovlig,worked illegally,,
aggravating_mye bryderi,0,aggravating_mye bryderi,aggravating,mye bryderi,a lot of trouble,,
aggravating_store tap,0,aggravating_store tap,aggravating,store tap,big losses,,
aggravating_betydelig risiko for andre veifarende,0,aggravating_betydelig risiko for andre veifarende,aggravating,betydelig risiko for andre veifarende,significant risk to other road users,,
aggravating_risiko for spredning av bilder,0,aggravating_risiko for spredning av bilder,aggravating,risiko for spredning av bilder,risk of spreading images,,
