"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_fiktive arbeidskontrakter og timelister",0,"aggravating_fiktive arbeidskontrakter og timelister","aggravating","fiktive arbeidskontrakter og timelister"
"aggravating_betydelig underbetalt",0,"aggravating_betydelig underbetalt","aggravating","betydelig underbetalt"
"aggravating_utnyttelse av andres arbeidskraft for egen vinning",0,"aggravating_utnyttelse av andres arbeidskraft for egen vinning","aggravating","utnyttelse av andres arbeidskraft for egen vinning"
"aggravating_konsekvenser for offeret",0,"aggravating_konsekvenser for offeret","aggravating","konsekvenser for offeret"
"aggravating_fare for andre trafikanter",0,"aggravating_fare for andre trafikanter","aggravating","fare for andre trafikanter"
"aggravating_overtredelse av hundeloven",0,"aggravating_overtredelse av hundeloven","aggravating","overtredelse av hundeloven"
"aggravating_bruk av falske dokumenter",0,"aggravating_bruk av falske dokumenter","aggravating","bruk av falske dokumenter"
"aggravating_volden er begått av flere i fellesskap",0,"aggravating_volden er begått av flere i fellesskap","aggravating","volden er begått av flere i fellesskap"
"aggravating_forsøk på bruk av kniv",0,"aggravating_forsøk på bruk av kniv","aggravating","forsøk på bruk av kniv"
"aggravating_identitetstyveri",0,"aggravating_identitetstyveri","aggravating","identitetstyveri"
"aggravating_gjentatt vold",0,"aggravating_gjentatt vold","aggravating","gjentatt vold"
"aggravating_elementer av tvang",0,"aggravating_elementer av tvang","aggravating","elementer av tvang"
"aggravating_filmet overgrepet og lagret det",0,"aggravating_filmet overgrepet og lagret det","aggravating","filmet overgrepet og lagret det"
"aggravating_oppbevaring av ulovlige gjenstander",0,"aggravating_oppbevaring av ulovlige gjenstander","aggravating","oppbevaring av ulovlige gjenstander"
"aggravating_skapte farlig situasjon nær togskinner",0,"aggravating_skapte farlig situasjon nær togskinner","aggravating","skapte farlig situasjon nær togskinner"
"aggravating_trussel om å bruke kniv",0,"aggravating_trussel om å bruke kniv","aggravating","trussel om å bruke kniv"
"aggravating_truende element fra flere personer",0,"aggravating_truende element fra flere personer","aggravating","truende element fra flere personer"
"aggravating_bruk av spray for å passivisere",0,"aggravating_bruk av spray for å passivisere","aggravating","bruk av spray for å passivisere"
"aggravating_midt på natten",0,"aggravating_midt på natten","aggravating","midt på natten"
"aggravating_bruk av slagvåpen",0,"aggravating_bruk av slagvåpen","aggravating","bruk av slagvåpen"
"aggravating_påvirkningsgrad",0,"aggravating_påvirkningsgrad","aggravating","påvirkningsgrad"
"aggravating_kjøring på svært trafikkert område",0,"aggravating_kjøring på svært trafikkert område","aggravating","kjøring på svært trafikkert område"
"aggravating_utnyttelse av en ung jente i en sårbar situasjon",0,"aggravating_utnyttelse av en ung jente i en sårbar situasjon","aggravating","utnyttelse av en ung jente i en sårbar situasjon"
"aggravating_utnyttelse av en ung jente i en sårbar tilstand",0,"aggravating_utnyttelse av en ung jente i en sårbar tilstand","aggravating","utnyttelse av en ung jente i en sårbar tilstand"
"aggravating_særlig krenkende handling",0,"aggravating_særlig krenkende handling","aggravating","særlig krenkende handling"
"aggravating_bruk av sosiale medier til å spre voldshandlingen",0,"aggravating_bruk av sosiale medier til å spre voldshandlingen","aggravating","bruk av sosiale medier til å spre voldshandlingen"
"aggravating_ydmykelse av offeret",0,"aggravating_ydmykelse av offeret","aggravating","ydmykelse av offeret"
"aggravating_utnyttelse av person i vanskelig situasjon",0,"aggravating_utnyttelse av person i vanskelig situasjon","aggravating","utnyttelse av person i vanskelig situasjon"
"aggravating_begått i nære relasjoner",0,"aggravating_begått i nære relasjoner","aggravating","begått i nære relasjoner"
"aggravating_betydelig vold",0,"aggravating_betydelig vold","aggravating","betydelig vold"
"aggravating_forøvelsesmåte",0,"aggravating_forøvelsesmåte","aggravating","forøvelsesmåte"
"aggravating_truet med knivstikking",0,"aggravating_truet med knivstikking","aggravating","truet med knivstikking"
"aggravating_maskert seg",0,"aggravating_maskert seg","aggravating","maskert seg"
"aggravating_manglende respekt",0,"aggravating_manglende respekt","aggravating","manglende respekt"
"aggravating_ikke samarbeidet om identitetsavklaring",0,"aggravating_ikke samarbeidet om identitetsavklaring","aggravating","ikke samarbeidet om identitetsavklaring"
"aggravating_betydelig risiko for liv eller helse",0,"aggravating_betydelig risiko for liv eller helse","aggravating","betydelig risiko for liv eller helse"
"aggravating_kjøring med flere passasjerer",0,"aggravating_kjøring med flere passasjerer","aggravating","kjøring med flere passasjerer"
"aggravating_fast forsett",0,"aggravating_fast forsett","aggravating","fast forsett"
"aggravating_ny forbrytelse kort tid etter ankomst til Norge",0,"aggravating_ny forbrytelse kort tid etter ankomst til Norge","aggravating","ny forbrytelse kort tid etter ankomst til Norge"
"aggravating_forulempende uttalelse",0,"aggravating_forulempende uttalelse","aggravating","forulempende uttalelse"
"aggravating_volden ble filmet og delt på sosiale medier",0,"aggravating_volden ble filmet og delt på sosiale medier","aggravating","volden ble filmet og delt på sosiale medier"
"aggravating_begått på skolen",0,"aggravating_begått på skolen","aggravating","begått på skolen"
"aggravating_vold mot mindreårig",0,"aggravating_vold mot mindreårig","aggravating","vold mot mindreårig"
"aggravating_utnyttelse av tiltaltes fryktkapital overfor en sårbar jente",0,"aggravating_utnyttelse av tiltaltes fryktkapital overfor en sårbar jente","aggravating","utnyttelse av tiltaltes fryktkapital overfor en sårbar jente"
"aggravating_hevn for en hendelse",0,"aggravating_hevn for en hendelse","aggravating","hevn for en hendelse"
"aggravating_planlagt og organisert",0,"aggravating_planlagt og organisert","aggravating","planlagt og organisert"
"aggravating_grovt heleri",0,"aggravating_grovt heleri","aggravating","grovt heleri"
"aggravating_svært samfunnsskadelige",0,"aggravating_svært samfunnsskadelige","aggravating","svært samfunnsskadelige"
"aggravating_stor risiko for psykiske ettervirkninger",0,"aggravating_stor risiko for psykiske ettervirkninger","aggravating","stor risiko for psykiske ettervirkninger"
"aggravating_narkotikaovertredelse",0,"aggravating_narkotikaovertredelse","aggravating","narkotikaovertredelse"
"aggravating_voldsom",0,"aggravating_voldsom","aggravating","voldsom"
"aggravating_fant sted på offentlig sted",0,"aggravating_fant sted på offentlig sted","aggravating","fant sted på offentlig sted"
"aggravating_aktiv deltakelse i narkotikaomsetning",0,"aggravating_aktiv deltakelse i narkotikaomsetning","aggravating","aktiv deltakelse i narkotikaomsetning"
"aggravating_fornærmede sov",0,"aggravating_fornærmede sov","aggravating","fornærmede sov"
"aggravating_planlegging over noe tid",0,"aggravating_planlegging over noe tid","aggravating","planlegging over noe tid"
"aggravating_fornærmede var et sårbart offer",0,"aggravating_fornærmede var et sårbart offer","aggravating","fornærmede var et sårbart offer"
"aggravating_ran med vold",0,"aggravating_ran med vold","aggravating","ran med vold"
"aggravating_alvorlig frykt for liv og helse",0,"aggravating_alvorlig frykt for liv og helse","aggravating","alvorlig frykt for liv og helse"
"aggravating_voldsutøvelsen fant sted i en fengselsinstitusjon",0,"aggravating_voldsutøvelsen fant sted i en fengselsinstitusjon","aggravating","voldsutøvelsen fant sted i en fengselsinstitusjon"
"aggravating_brudd på innreiseforbud",0,"aggravating_brudd på innreiseforbud","aggravating","brudd på innreiseforbud"
"aggravating_tyveri fra skoleelever i skoletiden",0,"aggravating_tyveri fra skoleelever i skoletiden","aggravating","tyveri fra skoleelever i skoletiden"
"aggravating_kjøring i høy hastighet med passasjerer",0,"aggravating_kjøring i høy hastighet med passasjerer","aggravating","kjøring i høy hastighet med passasjerer"
"aggravating_hastighetsovertredelse",0,"aggravating_hastighetsovertredelse","aggravating","hastighetsovertredelse"
"aggravating_vist frem en kniv på et offentlig kontor",0,"aggravating_vist frem en kniv på et offentlig kontor","aggravating","vist frem en kniv på et offentlig kontor"
"aggravating_mindre tyverier og tyverier",0,"aggravating_mindre tyverier og tyverier","aggravating","mindre tyverier og tyverier"
"aggravating_bedrageri over lang tid",0,"aggravating_bedrageri over lang tid","aggravating","bedrageri over lang tid"
"aggravating_vold i nedre sjikt",0,"aggravating_vold i nedre sjikt","aggravating","vold i nedre sjikt"
"aggravating_uberettiget adgang til andres eiendom",0,"aggravating_uberettiget adgang til andres eiendom","aggravating","uberettiget adgang til andres eiendom"
"aggravating_ranets brutalitet og varighet",0,"aggravating_ranets brutalitet og varighet","aggravating","ranets brutalitet og varighet"
"aggravating_planlagt handlingen over lang tid",0,"aggravating_planlagt handlingen over lang tid","aggravating","planlagt handlingen over lang tid"
"aggravating_handlingen ble foretatt i den fornærmedes hjem",0,"aggravating_handlingen ble foretatt i den fornærmedes hjem","aggravating","handlingen ble foretatt i den fornærmedes hjem"
"aggravating_bruk av kniv med et stor skadepotensiale",0,"aggravating_bruk av kniv med et stor skadepotensiale","aggravating","bruk av kniv med et stor skadepotensiale"
"aggravating_særlig skremmende",0,"aggravating_særlig skremmende","aggravating","særlig skremmende"
"aggravating_planlagt å ta den fornærmede",0,"aggravating_planlagt å ta den fornærmede","aggravating","planlagt å ta den fornærmede"
"aggravating_forsvareløst offer",0,"aggravating_forsvareløst offer","aggravating","forsvareløst offer"
"aggravating_stjålet penger ved flere anledninger",0,"aggravating_stjålet penger ved flere anledninger","aggravating","stjålet penger ved flere anledninger"
"aggravating_utnyttet tillitsforhold",0,"aggravating_utnyttet tillitsforhold","aggravating","utnyttet tillitsforhold"
"aggravating_volden pågår over tid",0,"aggravating_volden pågår over tid","aggravating","volden pågår over tid"
"aggravating_vold begått på offentlig sted",0,"aggravating_vold begått på offentlig sted","aggravating","vold begått på offentlig sted"
"aggravating_seksuelle handlinger uten samtykke",0,"aggravating_seksuelle handlinger uten samtykke","aggravating","seksuelle handlinger uten samtykke"
"aggravating_bevisforspillelse",0,"aggravating_bevisforspillelse","aggravating","bevisforspillelse"
"aggravating_kjøring av uregistrert motorvogn",0,"aggravating_kjøring av uregistrert motorvogn","aggravating","kjøring av uregistrert motorvogn"
"aggravating_brudd på politiets pålegg om bortvisning",0,"aggravating_brudd på politiets pålegg om bortvisning","aggravating","brudd på politiets pålegg om bortvisning"
"aggravating_begått over relativt lang tid",0,"aggravating_begått over relativt lang tid","aggravating","begått over relativt lang tid"
"aggravating_mot et stort antall fornærmede",0,"aggravating_mot et stort antall fornærmede","aggravating","mot et stort antall fornærmede"
"aggravating_økonomisk kriminalitet",0,"aggravating_økonomisk kriminalitet","aggravating","økonomisk kriminalitet"
"aggravating_den samlede størrelsen på beløpene",0,"aggravating_den samlede størrelsen på beløpene","aggravating","den samlede størrelsen på beløpene"
"aggravating_ekstra krevende kjøreforhold",0,"aggravating_ekstra krevende kjøreforhold","aggravating","ekstra krevende kjøreforhold"
"aggravating_mye trafikkert vegstrekning",0,"aggravating_mye trafikkert vegstrekning","aggravating","mye trafikkert vegstrekning"
"aggravating_kjøring over en lengre strekning",0,"aggravating_kjøring over en lengre strekning","aggravating","kjøring over en lengre strekning"
"aggravating_delt materiale med andre",0,"aggravating_delt materiale med andre","aggravating","delt materiale med andre"
"aggravating_aldersforskjellen",0,"aggravating_aldersforskjellen","aggravating","aldersforskjellen"
"mitigating_impulshandling uten forutgående planlegging",0,"mitigating_impulshandling uten forutgående planlegging","mitigating","impulshandling uten forutgående planlegging"
"mitigating_amatørmessig utført",0,"mitigating_amatørmessig utført","mitigating","amatørmessig utført"
"mitigating_begrenset etterforskning",0,"mitigating_begrenset etterforskning","mitigating","begrenset etterforskning"
"mitigating_tiltaltes forklaring har bidratt til oppklaring av saken",0,"mitigating_tiltaltes forklaring har bidratt til oppklaring av saken","mitigating","tiltaltes forklaring har bidratt til oppklaring av saken"
"mitigating_begrenset formildende betydning",0,"mitigating_begrenset formildende betydning","mitigating","begrenset formildende betydning"
"mitigating_lav skyldgrad",0,"mitigating_lav skyldgrad","mitigating","lav skyldgrad"
"mitigating_ikke planmessig søkt etter materiale",0,"mitigating_ikke planmessig søkt etter materiale","mitigating","ikke planmessig søkt etter materiale"
"mitigating_eget bruk",0,"mitigating_eget bruk","mitigating","eget bruk"
"mitigating_gjenopprettende møte",0,"mitigating_gjenopprettende møte","mitigating","gjenopprettende møte"
"mitigating_underordnet rolle",0,"mitigating_underordnet rolle","mitigating","underordnet rolle"
"mitigating_svak økonomi",0,"mitigating_svak økonomi","mitigating","svak økonomi"
"mitigating_redusert virkelighetsforståelse på grunn av sterk sinnsbevegelse",0,"mitigating_redusert virkelighetsforståelse på grunn av sterk sinnsbevegelse","mitigating","redusert virkelighetsforståelse på grunn av sterk sinnsbevegelse"
"mitigating_nødverge",0,"mitigating_nødverge","mitigating","nødverge"
"mitigating_ingen vold mot fornærmede",0,"mitigating_ingen vold mot fornærmede","mitigating","ingen vold mot fornærmede"
"mitigating_erkjennelse av straffeskyld",0,"mitigating_erkjennelse av straffeskyld","mitigating","erkjennelse av straffeskyld"
"mitigating_voldsutøvelsen ikke skjedde uten foranledning",0,"mitigating_voldsutøvelsen ikke skjedde uten foranledning","mitigating","voldsutøvelsen ikke skjedde uten foranledning"
